,Number_filters,Filter_size,Number_deepNeurons,AUROC
72,1,3,14,0.7862399999999999
73,1,3,14,0.782528
74,1,3,14,0.809344
75,1,3,16,0.85056
76,1,3,16,0.876608
77,1,3,16,0.733312
78,1,3,18,0.88288
79,1,3,18,0.9298559999999999
80,1,3,18,0.8539519999999999
81,1,4,2,0.79552
82,1,4,2,0.9283840000000001
83,1,4,2,0.835968
84,1,4,4,0.5964160000000001
85,1,4,4,0.8723839999999999
86,1,4,4,0.774528
87,1,4,6,0.837696
88,1,4,6,0.92
89,1,4,6,0.758464
90,1,4,8,0.8820479999999999
91,1,4,8,0.856512
92,1,4,8,0.881088
93,1,4,10,0.831232
94,1,4,10,0.892288
95,1,4,10,0.8309120000000001
96,1,4,12,0.833984
97,1,4,12,0.826048
98,1,4,12,0.922496
99,1,4,14,0.8462719999999999
100,1,4,14,0.8681599999999999
101,1,4,14,0.855936
102,1,4,16,0.8927999999999999
103,1,4,16,0.9793919999999999
104,1,4,16,0.8095359999999999
105,1,4,18,0.742848
106,1,4,18,0.8537599999999999
107,1,4,18,0.915584
108,1,5,2,0.8554240000000001
109,1,5,2,0.8848639999999999
110,1,5,2,0.77536
111,1,5,4,0.916352
112,1,5,4,0.8485119999999999
113,1,5,4,0.880256
114,1,5,6,0.915072
115,1,5,6,0.876608
116,1,5,6,0.8736
117,1,5,8,0.8684160000000001
118,1,5,8,0.822272
119,1,5,8,0.827008
120,1,5,10,0.931392
121,1,5,10,0.89792
122,1,5,10,0.9201280000000001
123,1,5,12,0.8857600000000001
124,1,5,12,0.9456
125,1,5,12,0.8326399999999999
126,1,5,14,0.853504
127,1,5,14,0.7690880000000001
128,1,5,14,0.883584
129,1,5,16,0.916544
130,1,5,16,0.9272959999999999
131,1,5,16,0.9087999999999999
132,1,5,18,0.849728
133,1,5,18,0.879296
134,1,5,18,0.9517439999999999
135,1,6,2,0.94304
136,1,6,2,0.976384
137,1,6,2,0.88096
138,1,6,4,0.9112319999999999
139,1,6,4,0.851456
140,1,6,4,0.6329600000000001
141,1,6,6,0.9017600000000001
142,1,6,6,0.934336
143,1,6,6,0.8524160000000001
144,1,6,8,0.885248
145,1,6,8,0.9564159999999999
146,1,6,8,0.93824
147,1,6,10,0.944256
148,1,6,10,0.8743679999999999
149,1,6,10,0.950592
150,1,6,12,0.93248
151,1,6,12,0.8815360000000001
152,1,6,12,0.907776
153,1,6,14,0.9804160000000001
154,1,6,14,0.9399679999999999
155,1,6,14,0.963648
156,1,6,16,0.9499519999999999
157,1,6,16,0.927744
158,1,6,16,0.950528
159,1,6,18,0.879488
160,1,6,18,0.954944
161,1,6,18,0.884224
162,1,7,2,0.794176
163,1,7,2,0.9532160000000001
164,1,7,2,0.841216
165,1,7,4,0.9332480000000001
166,1,7,4,0.934528
167,1,7,4,0.915776
168,1,7,6,0.9064319999999999
169,1,7,6,0.8607999999999999
170,1,7,6,0.939776
171,1,7,8,0.8126720000000001
172,1,7,8,0.9031039999999999
173,1,7,8,0.929664
174,1,7,10,0.98112
175,1,7,10,0.9434880000000001
176,1,7,10,0.9129599999999999
177,1,7,12,0.93984
178,1,7,12,0.9459839999999999
179,1,7,12,0.915008
180,1,7,14,0.9308160000000001
181,1,7,14,0.9077120000000001
182,1,7,14,0.903424
183,1,7,16,0.918656
184,1,7,16,0.871936
